Nom du commerce;Adresse;Code postal;Type de commerce;Services;Description;Précisions;Site internet;Téléphone;Mail;geo_shape;geo_point_2d
Di Loretta;12 boulevard de Courcelles;75017;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;Di Loretta est une pizzeria italienne située à Paris 17. Vous pourrez déguster des pizzas romaines à la coupe, élaborées selon des recettes gourmandes de David Azoulay.;;https://www.pizzadiloretta.com/;06 49 69 63 17;diloretta.magali@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.313974076275738, 48.88119349556935]}";48.8811934956,2.31397407628
Robin des Jeux;37 boulevard de Charonne;75011;Jouets - Jeux;Retrait de commandes en magasin;Nous sommes une boutique spécialisée en jeux de société pour toute la famille. Jeux de plateau, jeux de rôle, jeux de cartes, puzzles. Retrait en boutique 15 minutes après achat sur notre site.;;https://www.robindesjeux.com;01 42 72 53 12;contact@robindesjeux.com;"{""type"": ""Point"", ""coordinates"": [2.397824248644024, 48.85169421308422]}";48.8516942131,2.39782424864
VESNA GARIC CERAMIQUE;53 RUE DU COUËDIC;75014;Artisanat d'art;Retrait de commandes en magasin;"Espace de vente et de création dédié à la céramique. 
Bijoux, vaisselle et objets déco en céramique réalisés entièrement à la main.";;https://www.vesnagaric.com;;contact@vesnagaric.com;"{""type"": ""Point"", ""coordinates"": [2.329988320161352, 48.83004644053404]}";48.8300464405,2.32998832016
saison;62 rue Oberkampf;75011;Fleuriste;Livraisons à domicile;Vous pouvez retrouvez tout l’univers de saison en ligne, nous livrons dans tout Paris gratuitement;;http://saisonchezvous.fr;01 48 03 48 65;bonjour@saison.studio;"{""type"": ""Point"", ""coordinates"": [2.374155150706067, 48.86488971979482]}";48.8648897198,2.37415515071
Le Troisième café;16 rue de Beauce;75003;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;Café associatif et solidaire géré par des bénévoles, le Troisième café propose des repas bio et équilibrés à prix doux (gratuits pour les plus démunis).;;https://troisiemecafe.org;07 49 28 69 81;commandes@troisiemecafe.org;"{""type"": ""Point"", ""coordinates"": [2.361411758514754, 48.863026014877114]}";48.8630260149,2.36141175851
Librairie Galignani;224 Rue de Rivoli;75001;Librairie;Livraisons à domicile, Retrait de commandes en magasin;Librairie anglaise française et Beaux Arts avec 50000 références en stock permanent et 7000000 références en base;;http://www.galignani.fr;01 42 60 76 07;Galignani@galignani.com;"{""type"": ""Point"", ""coordinates"": [2.328603134032573, 48.86502732580778]}";48.8650273258,2.32860313403
Restaurant Le Jourdain;101 rue des couronnes;75020;Restaurant ou traiteur;Retrait de commandes en magasin;"Le Jourdain vous propose ses menus à emporter.
Du lundi au vendredi de 12h à 15h30 et vendredi soir
Vins à prix caviste";;http://www.lejourdain.fr;;restaurantlejourdain@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.38924526449858, 48.8721854049367]}";48.8721854049,2.3892452645
La chocofiserie;16 rue jean pierre timbaud;75011;Chocolaterie - Pâtisserie;Livraisons à domicile, Retrait de commandes en magasin;Chocolat artisanaux fabriqués dans le 11e;;;;la-chocofiserie@hotmail.fr;"{""type"": ""Point"", ""coordinates"": [2.368266086805883, 48.86524348788228]}";48.8652434879,2.36826608681
Mamajia;88 rue des gravilliers;75003;Restaurant ou traiteur;Retrait de commandes en magasin;Restaurant de cuisine asiatique;;;01 42 77 80 88;Acaxu76@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.353928232428171, 48.864670047667346]}";48.8646700477,2.35392823243
La Manoeuvre;58 rue de La Roquette;75011;Librairie;Livraisons à domicile, Retrait de commandes en magasin;"La Manoeuvre est une librairie générale de 60m au coeur du quartier de la Roquette dans le 11ème arrondissement de Paris.
L’équipe de la librairie met l’accent sur la littérature, les sciences-humaine";;https://www.lalibrairie.com/point-libraire/La-Manoeuvre.html;01 47 00 79 70;info@lamanoeuvre.com;"{""type"": ""Point"", ""coordinates"": [2.373636585660059, 48.85508880186472]}";48.8550888019,2.37363658566
RUSIDDA;1 rue Borda;75003;Épicerie fine;Livraisons à domicile, Retrait de commandes en magasin;Epicerie fine sicilienne, Rusidda propose des produits de qualité importés directement de Sicile. Savourez nos pizzolis, lasagnes, plats della Nonna et paniers gourmands pour devenir un chef sicilien!;;https://www.rusidda.fr/;09 86 47 54 74;inforusiddaparis@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.357471035239949, 48.86605168149016]}";48.8660516815,2.35747103524
un monde gourmand;18 RUE POISONNIERE;75002;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;ENTREPRISE D INSERTION AVEC UNE FORTE DIMENSION SOCIALE D ACCOMPAGNEMENT ET DE FORMATION AUX METIERS DE LA RESTAURATION,AVEC DES REPAS EQUILIBRE BON ET SAIN ,CUISINE DU JOUR AUX INFLUENCES DU MONDE;;traiteur@mondegourmand.com;06 09 22 56 39;annemarieteillou@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.347865802919227, 48.8693080329612]}";48.869308033,2.34786580292
Librairie Les buveurs d'encre;59 rue de Meaux;75019;Librairie;Retrait de commandes en magasin;Lundi – samedi : 10h-19h;;http://www.buveurs-dencre.com;01 42 00 48 63;librairielesbuveursdencre@wanadoo.fr;"{""type"": ""Point"", ""coordinates"": [2.373627299935983, 48.88168898891317]}";48.8816889889,2.37362729994
Cash Express;46/48 Boulevard de Strasbourg;75010;Autre;Livraisons à domicile, Retrait de commandes en magasin;Nous vendons des articles de seconde main en Informatique, jeux vidéo, Téléphones, Luxe, Musique, Culture, Petit electro, Hi Fi, Son, TV, Photo.. Testés, et garantis 6 mois.;;http://www.cashexpress.fr/paris10;01 42 02 88 88;cashexpress10@orange.fr;"{""type"": ""Point"", ""coordinates"": [2.356631764058868, 48.87314507067163]}";48.8731450707,2.35663176406
Imaï;1 RUE SAINT BENOIT;75006;Artisanat d'art;Livraisons à domicile, Retrait de commandes en magasin;"Nos bijoux ""haute-fantaisie"" sont fabriqués à la main dans notre atelier du 10ème arrondissement de Paris, en laiton doré à l'or fin 24 carats et pierres véritables, à prix justes";;http://www.imai.fr;01 48 74 51 28;boutique@imai.fr;"{""type"": ""Point"", ""coordinates"": [2.333519132438889, 48.855510622327756]}";48.8555106223,2.33351913244
KazeKo;81 rue Daguerre;75014;Autre;Retrait de commandes en magasin;KazeKo vous propose des articles ecoresponsables pour la vie quotidienne. Remplacez vos produits à usage unique par des objets durables et réutilisables tels lunchboxes, gourdes, cotons lavables.;;http://www.kazekobyanais.com;09 81 30 14 89;kazekobyanais@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.324788913921276, 48.835669557748076]}";48.8356695577,2.32478891392
Petit Produit;12 rue Popincourt;75011;Autre;Livraisons à domicile, Retrait de commandes en magasin;Vêtements pour enfants de 0 à 8 ans fabriqués à Paris en petite série complété par une offre de jolis accessoires de marques coup de coeur.;;http://www.petitproduit.fr;;contact@petitproduit.fr;"{""type"": ""Point"", ""coordinates"": [2.377419109792688, 48.85749219490676]}";48.8574921949,2.37741910979
STORES PLAISANCE;105 rue de l'ouest;75014;Bricolage;Livraisons à domicile, Retrait de commandes en magasin;Magasin de pièces détachées de volets roulant et stores.;;http://www.storesplaisance.com;01 40 44 90 00;contact@storesplaisance.com;"{""type"": ""Point"", ""coordinates"": [2.315666772653482, 48.83402860424269]}";48.8340286042,2.31566677265
Le Colibri & l'Envol - Paris 13;58 rue du Dessous des Berges;75013;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;Transmettre notre passion la restauration ! L'apprentissage et le travail sont de formidables moyens de réadaptation et d’épanouissement, pour l'intégration de personnes en situation de handicap !;;https://lecolibri-paris-commande.fr;06 88 43 22 17;aratel@oeuvre-falret.asso.fr;"{""type"": ""Point"", ""coordinates"": [2.37394720766248, 48.82754285321517]}";48.8275428532,2.37394720766
Kotozane;24 rue des petites écuries;75010;Jouets - Jeux;Livraisons à domicile, Retrait de commandes en magasin;Caverne d’Ali baba du jouet et de la déco. Marques françaises, sélections originales de jeux de marques européennes. Conseil au top !;Jouets, déco, déguisements, loisirs créatifs;;09 53 08 77 38;kotozane@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.3517703446231533, 48.87371466217556]}";48.8737146622,2.35177034462
Chez Fauve;38 rue Amelot;75011;Restaurant ou traiteur;Retrait de commandes en magasin;"Super coffee & fresh cuisine ! 
Coffee shop + cuisine maison et de saison au sein de la maison de ventes aux enchères FauveParis.";;https://www.fauveparis.com/chezfauve;01 43 57 23 51;chezfauve@fauveparis.com;"{""type"": ""Point"", ""coordinates"": [2.368604123456691, 48.858372133063746]}";48.8583721331,2.36860412346
Librairie des Savoirs - L'Harmattan;21 rue des écoles;75005;Librairie;Livraisons à domicile, Retrait de commandes en magasin;;;https://www.librairiesharmattan.com/SiteGp/;01 46 34 13 71;librairie.sh@harmattan.fr;"{""type"": ""Point"", ""coordinates"": [2.349169888950482, 48.84833425359522]}";48.8483342536,2.34916988895
Hipotel Paris;7 rue Jean Baptiste Dumay;75020;Autre;Retrait de commandes en magasin;Situé au centre de Belleville, classé 3 étoiles avec tous les conforts;Hôtel économique;https://www.hiporesa.com;06 80 13 65 34;qin.wu@wanadoo.fr;"{""type"": ""Point"", ""coordinates"": [2.387819194618335, 48.874252328819274]}";48.8742523288,2.38781919462
Matière Brute Lab;134-140 rue d'Aubervilliers, Atelier 4 - 4ème étage - Bat A;75019;Cosmétique;Livraisons à domicile, Retrait de commandes en magasin;"MATIÈRE BRUTE LAB est un atelier artisanal
 expert en soins cosmétiques de saison, efficaces,
sains, écologiques, inspirés par l’alimentation et
la nature.";Cosmétique - Primeurs de la Beauté;http://https://www.matierebrutelab.com;06 29 43 32 75;elisa@matierebrutelab.com;"{""type"": ""Point"", ""coordinates"": [2.369690734322743, 48.8926970336334]}";48.8926970336,2.36969073432
Bangkok Express;5 rue Mademoiselle;75015;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;Cuisine thaïlandaise et vietnamienne. Restauration Vente à emporter et Livraison à domicile.;;https://www.ubereats.com/fr/paris/food-delivery/bangkok-express/5xAbDW-ARrGOOeKaN1qABw;06 87 21 56 50;sam.chov@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.293859542788613, 48.84361091939883]}";48.8436109194,2.29385954279
After 8 Books;7 rue Jarry;75010;Librairie;Livraisons à domicile, Retrait de commandes en magasin;After 8 Books s’engage aux côtés des artistes, théoricien.ne.s, designers graphiques et auteur.e.x.s actif.ve.s  dans l’édition contemporaine et les arts visuels;;https://www.after8books.com;06 74 23 90 18;books@after8books.com;"{""type"": ""Point"", ""coordinates"": [2.355910688079777, 48.87397139519626]}";48.8739713952,2.35591068808
Librairie l'Odeur du Book;60 rue Hermel;75018;Librairie;Livraisons à domicile, Retrait de commandes en magasin;L' Odeur du Book est une librairie d'occasion spécialisée en sciences humaines et littérature, ainsi que dans les langues étrangères (italien et anglais). Nous avons un catalogue en ligne.;;https://www.odeurdubook.fr;01 42 23 30 39;librairie@odeurdubook.fr;"{""type"": ""Point"", ""coordinates"": [2.346090601625793, 48.89423352105088]}";48.8942335211,2.34609060163
l'Auberge Citoyenne;39 bis rue de tourtille;75020;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;L'Auberge Citoyenne est le restaurant de l'association Citoyennes Interculturelles de Paris (20ème). Nous proposons une cuisine interculturelle faite maison, à partir de produits frais et de saison.;;http://https://www.traiteurcip20.com/;06 26 24 66 90;amelie.keita@cip20.org;"{""type"": ""Point"", ""coordinates"": [2.380455871409406, 48.87209851864789]}";48.8720985186,2.38045587141
Petit HongKong;1 rue hautefeuille;75006;Restaurant ou traiteur;Retrait de commandes en magasin;Cuisine spéciale chinoise;;;06 52 56 69 59;minmin6@hotmail.fr;"{""type"": ""Point"", ""coordinates"": [2.343262481691943, 48.852805349312774]}";48.8528053493,2.34326248169
LE P'TIT PRÉ chez Lan;39 rue de Clery (Atelier Vegan);75002;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;Le P’tit Pré offre à sa clientèle des plats vietnamiens vegans de qualité, faits maison, et dont les recettes ont été inspirées par les origines de la gérante. Découvrez les sur Deliveroo & UberEats.;;https://www.facebook.com/leptitprechezlan;06 78 79 34 96;ptitpre.39@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.348365664466188, 48.868654919595215]}";48.8686549196,2.34836566447
Rhino Rouge;2 rue Théophile Roussel;75012;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;Viandes de bœuf, de porc et poulet. Cuisson feu de bois, indirecte, lente et basse température.;;http://www.rhinorouge.fr;01 43 44 28 55;restolerhino@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.37751366134548, 48.84955485630054]}";48.8495548563,2.37751366135
Stohrer;35, rue Cler;75007;Boulangerie - pâtisserie;Livraisons à domicile, Retrait de commandes en magasin;La plus ancienne pâtisserie de Paris;;http://www.stohrer.fr;01 45 55 29 74;contact@stohrer.fr;"{""type"": ""Point"", ""coordinates"": [2.306353196850592, 48.85709941588]}";48.8570994159,2.30635319685
Purae;51 boulevard Exelmans;75016;Alimentation générale et produits de première nécessité;Livraisons à domicile, Retrait de commandes en magasin;Savonnerie artisanale qui propose des savons à froid surgras et aux matières premières bio, shampoings solides et baumes sans eau.;;http://www.puraecosmetics.com;06 61 04 90 87;contact@puraecosmetics.com;"{""type"": ""Point"", ""coordinates"": [2.261799088589032, 48.84206067866282]}";48.8420606787,2.26179908859
Les Cailloux;58 Rue des cinq Diamants;75013;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;Les Cailloux est un restaurant traditionnel Italien ouvert en 2000 dans l'atypique petit village de la Butte aux Cailles (13ème arrondissement deParis). Produits bio, cuisine familiale et de saison.;;http://www.lescailloux.fr;01 45 80 15 08;lescailoux@lescailloux.fr;"{""type"": ""Point"", ""coordinates"": [2.349332756406588, 48.82769960385837]}";48.8276996039,2.34933275641
Kids Poux Paris;8 rue Beauregard;75002;Autre;Retrait de commandes en magasin;Naturels et bons pour les cheveux, nos produits anti-poux sont le meilleurs alliés pour une prévention anti-poux : l'école continue, sans poux c'est mieux !;;http://kids-poux.com/paris;06 60 38 82 81;paris@kids-poux.com;"{""type"": ""Point"", ""coordinates"": [2.348384732445548, 48.86917865511748]}";48.8691786551,2.34838473245
Les Enfants Gâtés;6 Bis rue des récollets;75010;Caviste - Brasserie;Livraisons à domicile, Retrait de commandes en magasin;Nous proposons une large sélection de vins naturels et biodynamiques;;http://www.les-enfants-gates.fr/;06 50 72 08 68;sas.teknikal@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.36195826224144, 48.874486487661784]}";48.8744864877,2.36195826224
KHAR FASHION;56 RUE POLONCEAU;75018;Artisanat d'art;Livraisons à domicile, Retrait de commandes en magasin;Khar Fashion est un atelier de couture parisien (confection - retouches) passé au Click & Collect. Commandez  par téléphone à Khadim (06.18.55.12.17) et retirez votre commande sur rv à l'atelier.;;https://www.instagram.com/kharfashion/?hl=fr;06 18 55 12 17;cheikhoulkhadimseck3@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.350393402219908, 48.88600281210086]}";48.8860028121,2.35039340222
Les Domaines Qui Montent;31 rue Ballu;75009;Épicerie fine;Retrait de commandes en magasin;Notre boutique vous propose une large gamme de vins, champagne, spiritueux mais aussi un très beau rayon d'épicerie fine : produits du terroir, charcuterie, fromages, et plats à emporter. Régalez vous;;https://www.lesdomainesquimontent.com/paris-ballu-75009-caviste-epicerie-fine;01 42 81 97 47;ballu@lesdomainesquimontent.com;"{""type"": ""Point"", ""coordinates"": [2.329001702369782, 48.88208074572496]}";48.8820807457,2.32900170237
Clinique vétérinaire du Dr Le Bail Laure;24rue de l'abbé Groult;75015;Autre;Retrait de commandes en magasin;"Clinique vétérinaire. 
Aliments apour animaux de compagnie pouvant être commandés sur le site Club vetshop est livrés gratuitement à la clinique en click and collect.";;https://www.votreveto.net/lebail/default.aspx;01 45 31 30 98;Veterinaire75015@orange.fr;"{""type"": ""Point"", ""coordinates"": [2.294235971594681, 48.842019029025145]}";48.842019029,2.29423597159
CAFE D'AUTEUR®;25 RUE DE L'HIRONDELLE;75006;Autre;Livraisons à domicile, Retrait de commandes en magasin;Torréfacteur - Créateur de cafés fins proposant ses cafés en grains ou moulus, et la dégustation de cafés préparés sur place ou à emporter;;http://www.cafedauteur.com;;contact@cafedauteur.fr;"{""type"": ""Point"", ""coordinates"": [2.342855845956568, 48.85360678016445]}";48.8536067802,2.34285584596
